# Characters
Mark Scout
Mark S.
Helena Eagan
Helly R.
Dylan George
Dylan G.
Irving Bailiff
Irving B.
Seth Milchick
Harmony Cobel
Eustice Huang
Jame Eagan
Natalie
Gemma Scout
Miss Casey
Devon Scout-Hale
Ricken Hale
Burt Goodman
Burt G.
Peter Kilmer
Petey K.
Lorne
Mr. Drummond
Asal Reghabi
Dr. Mauer
Gretchen George

# Affinities (character1, character2, affinity_value)
Mark Scout,Mark S.,-3.0
Mark Scout,Helena Eagan,-2.0
Mark Scout,Helly R.,0.0
Mark Scout,Dylan George,0.0
Mark Scout,Dylan G.,0.0
Mark Scout,Irving Bailiff,0.0
Mark Scout,Irving B.,0.0
Mark Scout,Seth Milchick,-3.0
Mark Scout,Harmony Cobel,-4.0
Mark Scout,Eustice Huang,0.0
Mark Scout,Jame Eagan,0.0
Mark Scout,Natalie,-1.0
Mark Scout,Gemma Scout,5.0
Mark Scout,Miss Casey,0.0
Mark Scout,Devon Scout-Hale,5.0
Mark Scout,Ricken Hale,3.0
Mark Scout,Burt Goodman,0.0
Mark Scout,Burt G.,0.0
Mark Scout,Peter Kilmer,2.0
Mark Scout,Petey K.,2.0
Mark Scout,Lorne,0.0
Mark Scout,Mr. Drummond,-2.0
Mark Scout,Asal Reghabi,2.0
Mark Scout,Dr. Mauer,-1.0
Mark Scout,Gretchen George,0.0
Mark S.,Helena Eagan,-4.0
Mark S.,Helly R.,5.0
Mark S.,Dylan George,0.0
Mark S.,Dylan G.,4.0
Mark S.,Irving Bailiff,4.0
Mark S.,Irving B.,4.0
Mark S.,Seth Milchick,-4.0
Mark S.,Harmony Cobel,-4.0
Mark S.,Eustice Huang,-2.0
Mark S.,Jame Eagan,-1.0
Mark S.,Natalie,-1.0
Mark S.,Gemma Scout,0.0
Mark S.,Miss Casey,1.0
Mark S.,Devon Scout-Hale,3.0
Mark S.,Ricken Hale,4.0
Mark S.,Burt Goodman,0.0
Mark S.,Burt G.,1.0
Mark S.,Peter Kilmer,0.0
Mark S.,Petey K.,4.0
Mark S.,Lorne,3.0
Mark S.,Mr. Drummond,-4.0
Mark S.,Asal Reghabi,0.0
Mark S.,Dr. Mauer,0.0
Mark S.,Gretchen George,0.0
Helena Eagan,Helly R.,-5.0
Helena Eagan,Dylan George,0.0
Helena Eagan,Dylan G.,-4.0
Helena Eagan,Irving Bailiff,0.0
Helena Eagan,Irving B.,-5.0
Helena Eagan,Seth Milchick,3.0
Helena Eagan,Harmony Cobel,-4.0
Helena Eagan,Eustice Huang,0.0
Helena Eagan,Jame Eagan,-5.0
Helena Eagan,Natalie,4.0
Helena Eagan,Gemma Scout,0.0
Helena Eagan,Miss Casey,0.0
Helena Eagan,Devon Scout-Hale,0.0
Helena Eagan,Ricken Hale,0.0
Helena Eagan,Burt Goodman,0.0
Helena Eagan,Burt G.,0.0
Helena Eagan,Peter Kilmer,0.0
Helena Eagan,Petey K.,0.0
Helena Eagan,Lorne,0.0
Helena Eagan,Mr. Drummond,3.0
Helena Eagan,Asal Reghabi,0.0
Helena Eagan,Dr. Mauer,0.0
Helena Eagan,Gretchen George,0.0
Helly R.,Dylan George,0.0
Helly R.,Dylan G.,4.0
Helly R.,Irving Bailiff,0.0
Helly R.,Irving B.,4.0
Helly R.,Seth Milchick,-4.0
Helly R.,Harmony Cobel,-4.0
Helly R.,Eustice Huang,-2.0
Helly R.,Jame Eagan,-4.0
Helly R.,Natalie,-2.0
Helly R.,Gemma Scout,0.0
Helly R.,Miss Casey,2.0
Helly R.,Devon Scout-Hale,0.0
Helly R.,Ricken Hale,0.0
Helly R.,Burt Goodman,0.0
Helly R.,Burt G.,1.0
Helly R.,Peter Kilmer,0.0
Helly R.,Petey K.,0.0
Helly R.,Lorne,0.0
Helly R.,Mr. Drummond,0.0
Helly R.,Asal Reghabi,0.0
Helly R.,Dr. Mauer,0.0
Helly R.,Gretchen George,0.0
Dylan George,Dylan G.,3.0
Dylan George,Irving Bailiff,0.0
Dylan George,Irving B.,0.0
Dylan George,Seth Milchick,2.0
Dylan George,Harmony Cobel,0.0
Dylan George,Eustice Huang,0.0
Dylan George,Jame Eagan,0.0
Dylan George,Natalie,0.0
Dylan George,Gemma Scout,0.0
Dylan George,Miss Casey,0.0
Dylan George,Devon Scout-Hale,0.0
Dylan George,Ricken Hale,0.0
Dylan George,Burt Goodman,0.0
Dylan George,Burt G.,0.0
Dylan George,Peter Kilmer,0.0
Dylan George,Petey K.,0.0
Dylan George,Lorne,0.0
Dylan George,Mr. Drummond,0.0
Dylan George,Asal Reghabi,0.0
Dylan George,Dr. Mauer,0.0
Dylan George,Gretchen George,5.0
Dylan G.,Irving Bailiff,0.0
Dylan G.,Irving B.,4.0
Dylan G.,Seth Milchick,-3.0
Dylan G.,Harmony Cobel,-3.0
Dylan G.,Eustice Huang,-2.0
Dylan G.,Jame Eagan,0.0
Dylan G.,Natalie,0.0
Dylan G.,Gemma Scout,0.0
Dylan G.,Miss Casey,3.0
Dylan G.,Devon Scout-Hale,0.0
Dylan G.,Ricken Hale,2.0
Dylan G.,Burt Goodman,0.0
Dylan G.,Burt G.,1.0
Dylan G.,Peter Kilmer,3.0
Dylan G.,Petey K.,3.0
Dylan G.,Lorne,0.0
Dylan G.,Mr. Drummond,0.0
Dylan G.,Asal Reghabi,0.0
Dylan G.,Dr. Mauer,0.0
Dylan G.,Gretchen George,5.0
Irving Bailiff,Irving B.,4.0
Irving Bailiff,Seth Milchick,-2.0
